a friend of mine is comming to visit,good morning Miss. Ramires
good morning Miss. Ramirez,I'm sorry whats your name?
"unfortunetly, What's your name?",my name is chars Jhonson
my name is chars Jhonson.,say
"say, and How are you mr. Jhonson.","oh yues, how are you, Mr. Jhonson"
"not bad, thanks","not bad, thanks"
to do you have time for coffee?,now he ask
not now but a lilttle later,do you have time for coffee
why don't wwe go to the garden cafe?,"not now, but a little later"
why don't we go to the garden cafe at five oclocl,why don't we go
we can have a beer?,whay don't we go to the Garden Cafe?
or a glass of wine?,"at five o'clock, we can have a beer?"
"I never drink white wine, and I don't like beer",or a glass of wine
sometime,or a glass of wnine
sometimes,I nver drink white wine
try to say,and I don't like beer
somethimes I drink red wine,"sometimes, "
but I'd like coffe very  much,"sometimes,"
so do I,sometimes I drink red wine.
me too.,but I'd like coffee very much
mee too,me too.
"ask, then why don't we have some coffee later?",me too.
sometime I drink red wine,"ask, Why don't we have some coffee later?"
and sometime I drink coffee.,"some time , I drink red wine,"
but I never drink beer.,"and sometime, I drink coffee."
now is other day,but I never drink beer
a colleage,now is other day
a calleage is coming to visit,a colleage
a colleage is coming to visit,a colleage of mine is coming to visit
a colleage of yours,a colleage of mine is coming to visit
her name is Elena Martinez.,a colleage of yours
she is coming with her husband.,"say, her name is Elena Martinez"
there both mexican,"yes, Her name is Elena Martinez."
there both mexican,She is coming with her husband.
they're both mexican,they're both mexican
"unfortunetly, I haven't seen my colleage for a few years",both
for a a year,they're both mexican
I haven't seen her for a year.,they're both mexican
I haven't seen her for a year.,"unfortunetly., I haven't seen my colleage"
She and her husband are from Mexico,"unfortunetly, I haven't seen my colleage for a year"
she and her husband are both from mexico,I haven't seen her for a year.
but now live in washintong,She and her husband are both from Mexican
Where do they live,she and her husband are both from mexican
the still live in Washintong,but now they live in Washington now
they live there for three years,they live in Washintong now
they've lived there for three years,Where do they live?
they've lived for three years,they still live in Washintong
they've live there for three years,they've live there for three years
ask How long,they have lived there for three years
try to ask,they've lived for three years
how long have you lived there?,they've lived there for three years
they've lived there for three years,they've live there for three years
they're both Mexican,how long?
they both speak english,How long have you lived there?
they both speak english,how long Have they lived they
they always speak english with me,they've lived there for three years
but some times they speak spanig,they both speak english
wiht mu children,"they both speak english,"
when did you arrive in New York,they've 
this morning,they always speak englsih with me
they arrived in New York this morning,"but sometime, they speak spanish. with my chidrens"
they've lived in \whashinto for three years,whwn did you arrived in New York?
do you have a lot of work today,they arrived in New York this morning
no I don't have much work,they've lived in Wahsingotn for three years
I don't have much work,now ask
do you have time for a glass of wine?,do you have a lot of work today
"I always have time, for a glass of wine?",a lot of work
I always have time for a glass of wine for you,no I don't have much work
then why don't we go to the garden Cafe?,no I don't have much work
allright I'd like the Gard3en Caffe?,do you have time for a glass of wine?
some thime I go there,do you have 
sometimes I go there with a friend of mine,I always have time.
sometimes I go there ,for a glass of wine?
I'm going to boston tomorro2,with you
I'm going to Boston Tomorrow,then why don't we go?
I never go to Boston,then why don't we go to the Garden Cafe?
Now say agen,"allright ,I like the Garden Cafe"
sometimes I go there with a friend of mine,some time I go there
we both went there yesterday,sometimes I go there.
I don't want to wait,some times I go there
"allright, I can walk",sometimes I go there with a friend of mine
alright We can walk,I go and not I'm going
alright we can walk,listen
sometimes I walk,I'm goint to boston tomorrow
sometimes I take a taxi,I'm going to Boston tomorrow
some times I take a taxi,with a friend of mine
some times I take a taxi,sometimes I go there.
we can walk,we both went there yesterday.
or we can take a taxi,"I'm a mexican,"
we can both take a taxi,I don't want to wait.
Where is your car ?,but some times we speak spanish together
at home,where do you have dinner ?
at home,at home
where ?,sometimes we go to the restaurant
at home,"but tonight, we're going to eat at home."
home,are we going to take a take
at home,no it's not far
she says ,why don't we walk?
we can walk,why don't we walk
or we can take a taxi,"at the holtel, "
or we can take a taxi,do you know my friend Maria Ortiz?
but my car isn't home,She is coming to visit tomorrow
I don't have much time,"say Maria, Yes I know her."
"beacause, I'm going to have dinner with a colleage of mine",I know her
a colleage of yours,she lives in Wathalajara.
Yes a colleage from Mexico,"Yes, She still lives there with her son"
his name is Miguel Rodriguez,Unfortunetley I haven't seen her.
She is coming to visit todays,for a few years.
"Oh, I know him,","but tomorrow she is coming to visit,"
I think his wife is colombian,and tomorrow I don't have much work.
"yes, and now She lives they live in Boston"
they've lived there for two years
they both speak english very well
bu5 somethime we speak spanish together
wher are you goning to have dinner today?
"sometime, We go to a restaurant."
but tonight
we're going to eat at home
are we gong to take a taxi.
no it's not far
why don't we walk?
why don't we walk
do you know Maria Ortiz?
do you know my friend Maria Ortiz
she is coming to visit tomorrow
"Maria, Yes I know her."
"Maria, Yes, I know her"
"she lives in Wathalajara,"
"yes, she still lives there with her son"
"unfortunetly, I haven't seen her"
Unfortunetly I haven't seen her for a few years
butr tomorrow she is coming to visit
and tomorrow I don't have much work.
